artist_name,genre,popularity,followers,external_url
TheARTI$t,,40,20406,https://open.spotify.com/artist/0lzz7vFjUA0jCmEy1PR53a
Kwaku Asante,uk contemporary r&b,38,35183,https://open.spotify.com/artist/2aUr9B6iwO3eYiEHJIpB0M
Gareth Donkin,,40,24828,https://open.spotify.com/artist/05G52WX5mk1SgWBoMJDKbN
Tom Bailey,,35,6722,https://open.spotify.com/artist/2oazmaA42Jf78TZeTsUIDU
V. Cartier,,29,10519,https://open.spotify.com/artist/5Spozi8ZrO7PLm99USCdop
MiLES.,chill abstract hip hop,36,19425,https://open.spotify.com/artist/4Mt0UzpAedYJYAvDMNjx2I
James Savage,,21,1100,https://open.spotify.com/artist/0NJU41dLwF6OcBPRZwhAV5
ilham,,34,32222,https://open.spotify.com/artist/0r7PsZB4ePA6vHrW4agoGN
Shantel May,chill r&b,33,12662,https://open.spotify.com/artist/3dLvESWiG5LWozJmdvk6D0
Pino,,42,17367,https://open.spotify.com/artist/58DUKFTIbamsxqTHfoofpu
Maz B,,35,5174,https://open.spotify.com/artist/7dmwSItAEr4EhkUH5C9aXH
Ari Lennox,alternative r&b,63,820488,https://open.spotify.com/artist/1vaQ6v3pOFxAIrFoPrAcom
Wizkid,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop",79,6203223,https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp
Coco Jones,pop r&b,65,526027,https://open.spotify.com/artist/4DHLoiIqFYYFjH09WduvFd
Jeremih,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary",75,6726135,https://open.spotify.com/artist/3KV3p5EY4AvKxOlhGHORLg
Queen Naija,"pop r&b, r&b",60,3128577,https://open.spotify.com/artist/3nViOFa3kZW8OMSNOzwr98
Mary J. Blige,"dance pop, hip pop, neo soul, r&b, urban contemporary",72,3968496,https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr
PHABO,"alternative r&b, indie r&b",48,49774,https://open.spotify.com/artist/5FdZDr2bMbEcnsEKRgO3rn
CKay,"afro r&b, afrobeats",69,1543019,https://open.spotify.com/artist/048LktY5zMnakWq7PTtFrz
Tiwa Savage,"afrobeats, afropop, azonto, nigerian pop",62,2039579,https://open.spotify.com/artist/1hNaHKp2Za5YdOAG0WnRbc
Majid Jordan,"canadian contemporary r&b, canadian hip hop",68,966716,https://open.spotify.com/artist/4HzKw8XcD0piJmDrrPRCYk
Rhyan Douglas,,28,4406,https://open.spotify.com/artist/7axjaaukpvCevGVNWKpYL2
RIMON,"alternative r&b, dutch r&b",50,175431,https://open.spotify.com/artist/4DtUsfaVQBhypuwYmobdSm
JON VINYL,canadian contemporary r&b,47,85048,https://open.spotify.com/artist/6PvScqSJuICxvoA3UDYPmu
Zyah Belle,indie r&b,25,7900,https://open.spotify.com/artist/09q46aTaAsSGoLID49Y6Sx
Nija,"pop r&b, r&drill",48,57926,https://open.spotify.com/artist/7f9KxQWD88MZrSY6jc0zoW
SAFE,canadian hip hop,45,173554,https://open.spotify.com/artist/3bnpcWBcvlfq4hPFJjNPbz
Jamilah Barry,"alternative r&b, uk contemporary r&b",45,35073,https://open.spotify.com/artist/2XSaBoykurbHLXS5WwDewv
Katie Tupper,,54,31873,https://open.spotify.com/artist/4uReB9HwMdEgwDXredJoVW
Aaron Page,,28,1299,https://open.spotify.com/artist/3VDL2INkcXTUD91WQ5qqEJ
VITA,,34,4474,https://open.spotify.com/artist/50gYS9Vnaod5SLK9tBJizB
Résa,,24,4187,https://open.spotify.com/artist/4a4GE7G3xZ61pA0SAWS62O
Azekel,uk contemporary r&b,42,20713,https://open.spotify.com/artist/446nYwuXzCKnDwZUu4kGQA
Destin Laurel,,46,13141,https://open.spotify.com/artist/33hj9n9Y19jGhXk8m7ezKR
CHOSZN,,34,5927,https://open.spotify.com/artist/2B9U7mQ6lCD1a7nycReVUK
Gabriel Jacoby,,26,857,https://open.spotify.com/artist/05pLxSVIyZiQTqQnR4QQ9H
Hi-Five,"boy band, contemporary r&b, new jack swing",45,584664,https://open.spotify.com/artist/0EVUivUkugMtNF09L4QBMH
Merges,,47,9326,https://open.spotify.com/artist/4kxopTxmOJYaWkOAbcB7x3
SHRETA,"chill r&b, indie r&b",27,7214,https://open.spotify.com/artist/3JIPXppV2oYMltqGqBCo9n
Tia Gordon,,38,6494,https://open.spotify.com/artist/5rXNmuTfaGC8hw0JEQOpLc
Tash,,48,67367,https://open.spotify.com/artist/3kX6nt9QiDarAkCsIGRIgR
THEHONESTGUY,indie r&b,38,7804,https://open.spotify.com/artist/5Pqfj0BtkBBdvxrAhfOdIt
BINA.,indie r&b,46,15598,https://open.spotify.com/artist/2cOj9uwYqm3PHx1i5n7BkC
Dajah Dorn,,22,525,https://open.spotify.com/artist/1Izq0qVic6VD59UHbfxkEI
Natalie La Rose,,50,113015,https://open.spotify.com/artist/2qdONMCoDngQk0eV4Avs1i
Odeal,uk contemporary r&b,66,126864,https://open.spotify.com/artist/2BPwxhCvvcb8xDl8GWIjbh
Isaiah Falls,,59,54237,https://open.spotify.com/artist/0ocxWXtgr9tJW60xV5ZufT
Tyla,,77,2026920,https://open.spotify.com/artist/3SozjO3Lat463tQICI9LcE
Nao,"alternative r&b, uk contemporary r&b",56,658948,https://open.spotify.com/artist/7aFTOGFDEqDtJUCziLVsVC
Mabel,"pop, uk pop",66,2028960,https://open.spotify.com/artist/1MIVXf74SZHmTIp4V4paH4
Jorja Smith,"r&b, uk contemporary r&b",74,3485056,https://open.spotify.com/artist/1CoZyIx7UvdxT5c8UkMzHd
Tori Kelly,"pop, post-teen pop",68,2154729,https://open.spotify.com/artist/1vSN1fsvrzpbttOYGsliDr
Sean Garrett,,40,48366,https://open.spotify.com/artist/4aWpJudn4ljEWahx6cPEGu
Eric Bellinger,"pop r&b, r&b",63,902784,https://open.spotify.com/artist/7ibAWtDtmEfaVhc1FJ3Vl9
JayO,afrobeats,55,69438,https://open.spotify.com/artist/1IMENE2OCzsrXuu62aW1mD
Amaria,"alternative r&b, chill r&b",55,93682,https://open.spotify.com/artist/2clS9uX2uOrHHqkyDMkzA1
